"Source:","/Volumes/hdd/Projects/kicad/npnium/fuzzface-npnium/npnium.kicad_sch"
"Date:","2024 May 04, Saturday 12:36:27"
"Tool:","Eeschema (6.0.9-0)"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","22"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, ","1","2.2u","CP","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","",""
"C2, ","1","10n","C","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","Unpolarized capacitor",""
"C3, ","1","22u","CP","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","",""
"C4, ","1","47u","CP","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","",""
"D1, ","1","LED","LED","LED_THT:LED_D5.0mm","Light emitting diode",""
"H7, ","1","IN","MountingHole_Pad","pedal-component-footprint:PinHeader_1x01_P2.54mm_Long_Front_Back","Mounting Hole with connection",""
"H8, H10, ","2","GND","MountingHole_Pad","pedal-component-footprint:PinHeader_1x01_P2.54mm_Long_Front_Back","Mounting Hole with connection",""
"H14, ","1","OUT","MountingHole_Pad","pedal-component-footprint:PinHeader_1x01_P2.54mm_Long_Front_Back","Mounting Hole with connection",""
"J1, ","1","Conn_01x02_Male","Conn_01x02_Male","Connector_JST:JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J2, J3, ","2","Conn_01x06_Female","Conn_01x06_Female","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"Q1, Q2, ","2","Q_NPN_EBC","Q_NPN_EBC","Package_TO_SOT_THT:TO-92L_Inline_Wide","NPN transistor, emitter/base/collector",""
"R1, ","1","100K","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor",""
"R2, ","1","Rled","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor",""
"R3, ","1","470","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor",""
"RV1, RV2, ","2","100K","R_POT_TRIM","MBv3 potentiometers:Trim_Multi_turns","",""
"RV3, ","1","B1K","R_POT","MBv3 potentiometers:16MM_B.MOUNT_BANZAI","",""
"RV4, ","1","A500K","R_POT","MBv3 potentiometers:16MM_B.MOUNT_BANZAI","",""
"SW1, ","1","SW_Push_3PDT","SW_Push_3PDT-Switch","pedal-component-footprint:3PDT.LUGS.FLPVSK","",""
